。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 一 5 | 在 6 | 中 7 | 人 8 | 了 9 | 
欲 : 芬 0 | 锁 1 | 捷 2 | 湘 3 | 鞋 4 | 扑 5 | 豆 6 | 绘 7 | 闪 8 | 搭 9 | 

糖 : 扑 0 | 绘 1 | 湘 2 | 搭 3 | 锁 4 | 仿 5 | 芬 6 | 凤 7 | 捷 8 | 拆 9 | 

翼 : 仿 0 | 凤 1 | 搭 2 | 拆 3 | 绘 4 | 嫌 5 | 扑 6 | 叙 7 | 湘 8 | 宿 9 | 

乔 : 嫌 0 | 叙 1 | 拆 2 | 宿 3 | 凤 4 | 萄 5 | 仿 6 | 溪 7 | 搭 8 | 耐 9 | 

扭 : 萄 0 | 溪 1 | 宿 2 | 耐 3 | 叙 4 | 滥 5 | 嫌 6 | 傅 7 | 拆 8 | 棚 9 | 

汛 : 滥 0 | 傅 1 | 耐 2 | 棚 3 | 溪 4 | 钻 5 | 萄 6 | 叹 7 | 宿 8 | 戒 9 | 

稽 : 钻 0 | 叹 1 | 棚 2 | 戒 3 | 傅 4 | 尾 5 | 滥 6 | 冯 7 | 耐 8 | 胸 9 | 

柳 : 尾 0 | 冯 1 | 戒 2 | 胸 3 | 叹 4 | 顽 5 | 钻 6 | 颖 7 | 棚 8 | 斌 9 | 

萄 : 顽 0 | 颖 1 | 胸 2 | 斌 3 | 冯 4 | 粗 5 | 尾 6 | 恒 7 | 戒 8 | Ｍ 9 | 

稀 : 粗 0 | 恒 1 | 斌 2 | Ｍ 3 | 颖 4 | 撒 5 | 顽 6 | 蛋 7 | 胸 8 | 御 9 | 

赋 : 撒 0 | 蛋 1 | Ｍ 2 | 御 3 | 恒 4 | 茂 5 | 粗 6 | 帝 7 | 斌 8 | 弘 9 | 

详 : 茂 0 | 帝 1 | 御 2 | 弘 3 | 蛋 4 | 兄 5 | 撒 6 | 伏 7 | Ｍ 8 | 彼 9 | 

饰 : 兄 0 | 伏 1 | 弘 2 | 彼 3 | 帝 4 | 燕 5 | 茂 6 | 堪 7 | 御 8 | 娜 9 | 

踪 : 燕 0 | 堪 1 | 彼 2 | 娜 3 | 伏 4 | 暗 5 | 兄 6 | 虫 7 | 弘 8 | 枝 9 | 

Ｏ : 暗 0 | 虫 1 | 娜 2 | 枝 3 | 堪 4 | 尝 5 | 燕 6 | 姑 7 | 彼 8 | 遥 9 | 

巧 : 尝 0 | 姑 1 | 枝 2 | 遥 3 | 虫 4 | 兹 5 | 暗 6 | 址 7 | 娜 8 | 荆 9 | 

弄 : 兹 0 | 址 1 | 遥 2 | 荆 3 | 姑 4 | 爷 5 | 尝 6 | 慎 7 | 枝 8 | 狂 9 | 

悠 : 爷 0 | 慎 1 | 荆 2 | 狂 3 | 址 4 | 湿 5 | 兹 6 | 锡 7 | 遥 8 | 肖 9 | 

粗 : 湿 0 | 锡 1 | 狂 2 | 肖 3 | 慎 4 | 怪 5 | 爷 6 | 详 7 | 荆 8 | 忍 9 | 

烂 : 怪 0 | 详 1 | 肖 2 | 忍 3 | 锡 4 | 堆 5 | 湿 6 | 炎 7 | 狂 8 | 妙 9 | 

恒 : 堆 0 | 炎 1 | 忍 2 | 妙 3 | 详 4 | 疏 5 | 怪 6 | 昂 7 | 肖 8 | 吹 9 | 

描 : 疏 0 | 昂 1 | 妙 2 | 吹 3 | 炎 4 | 丈 5 | 堆 6 | 兆 7 | 忍 8 | 塘 9 | 

御 : 丈 0 | 兆 1 | 吹 2 | 塘 3 | 昂 4 | 逝 5 | 疏 6 | 译 7 | 妙 8 | 押 9 | 

译 : 逝 0 | 译 1 | 塘 2 | 押 3 | 兆 4 | 拟 5 | 丈 6 | 埔 7 | 吹 8 | 锻 9 | 

锡 : 拟 0 | 埔 1 | 押 2 | 锻 3 | 译 4 | 韦 5 | 逝 6 | 饰 7 | 塘 8 | 飘 9 | 

叹 : 韦 0 | 饰 1 | 锻 2 | 飘 3 | 埔 4 | 挺 5 | 拟 6 | 牺 7 | 押 8 | 尖 9 | 

慨 : 挺 0 | 牺 1 | 飘 2 | 尖 3 | 饰 4 | 闯 5 | 韦 6 | 贤 7 | 锻 8 | 栽 9 | 

桌 : 闯 0 | 贤 1 | 尖 2 | 栽 3 | 牺 4 | 阐 5 | 挺 6 | 填 7 | 飘 8 | 灰 9 | 

刷 : 阐 0 | 填 1 | 栽 2 | 灰 3 | 贤 4 | 脏 5 | 闯 6 | 膨 7 | 尖 8 | 磋 9 | 

Ｅ : 脏 0 | 膨 1 | 灰 2 | 磋 3 | 填 4 | 盐 5 | 阐 6 | 锐 7 | 栽 8 | 魏 9 | 

炎 : 盐 0 | 锐 1 | 磋 2 | 魏 3 | 膨 4 | 滞 5 | 脏 6 | 睛 7 | 灰 8 | 烂 9 | 

脉 : 滞 0 | 睛 1 | 魏 2 | 烂 3 | 锐 4 | 衰 5 | 盐 6 | 亦 7 | 磋 8 | 怖 9 | 

孤 : 衰 0 | 亦 1 | 烂 2 | 怖 3 | 睛 4 | 奠 5 | 滞 6 | 酸 7 | 魏 8 | 胶 9 | 

颜 : 奠 0 | 酸 1 | 怖 2 | 胶 3 | 亦 4 | 刷 5 | 衰 6 | 摘 7 | 烂 8 | 狠 9 | 

骤 : 刷 0 | 摘 1 | 胶 2 | 狠 3 | 酸 4 | 寺 5 | 奠 6 | 渊 7 | 怖 8 | 顷 9 | 

湘 : 寺 0 | 渊 1 | 狠 2 | 顷 3 | 摘 4 | 盼 5 | 刷 6 | 削 7 | 胶 8 | 稀 9 | 

漂 : 盼 0 | 削 1 | 顷 2 | 稀 3 | 渊 4 | 淘 5 | 寺 6 | 杭 7 | 狠 8 | 硕 9 | 

拳 : 淘 0 | 杭 1 | 稀 2 | 硕 3 | 削 4 | 慨 5 | 盼 6 | 魂 7 | 顷 8 | 掘 9 | 

帽 : 慨 0 | 魂 1 | 硕 2 | 掘 3 | 杭 4 | 悬 5 | 淘 6 | Ｖ 7 | 稀 8 | 悄 9 | 

睛 : 悬 0 | Ｖ 1 | 掘 2 | 悄 3 | 魂 4 | Ｐ 5 | 慨 6 | 冻 7 | 硕 8 | 凉 9 | 

魏 : Ｐ 0 | 冻 1 | 悄 2 | 凉 3 | Ｖ 4 | 炭 5 | 悬 6 | 稽 7 | 掘 8 | 汰 9 | 

顷 : 炭 0 | 稽 1 | 凉 2 | 汰 3 | 冻 4 | 携 5 | Ｐ 6 | 柴 7 | 悄 8 | 屏 9 | 

辅 : 携 0 | 柴 1 | 汰 2 | 屏 3 | 稽 4 | 募 5 | 炭 6 | 喊 7 | 凉 8 | 箭 9 | 

柏 : 募 0 | 喊 1 | 屏 2 | 箭 3 | 柴 4 | 睡 5 | 携 6 | 悠 7 | 汰 8 | 汪 9 | 

冶 : 睡 0 | 悠 1 | 箭 2 | 汪 3 | 喊 4 | 脉 5 | 募 6 | 丧 7 | 屏 8 | 屈 9 | 

艇 : 脉 0 | 丧 1 | 汪 2 | 屈 3 | 悠 4 | 仰 5 | 睡 6 | ● 7 | 箭 8 | 偶 9 | 

蓬 : 仰 0 | ● 1 | 屈 2 | 偶 3 | 丧 4 | 疲 5 | 脉 6 | 泊 7 | 汪 8 | 贿 9 | 

逢 : 疲 0 | 泊 1 | 偶 2 | 贿 3 | ● 4 | 株 5 | 仰 6 | 盆 7 | 屈 8 | 垦 9 | 

梯 : 株 0 | 盆 1 | 贿 2 | 垦 3 | 泊 4 | 腰 5 | 疲 6 | 玛 7 | 偶 8 | 艇 9 | 

苍 : 腰 0 | 玛 1 | 垦 2 | 艇 3 | 盆 4 | 轰 5 | 株 6 | 蔡 7 | 贿 8 | 晶 9 | 

锻 : 轰 0 | 蔡 1 | 艇 2 | 晶 3 | 玛 4 | 棵 5 | 腰 6 | 漂 7 | 垦 8 | 娃 9 | 

亭 : 棵 0 | 漂 1 | 晶 2 | 娃 3 | 蔡 4 | 姿 5 | 轰 6 | 赋 7 | 艇 8 | 逢 9 | 

揽 : 姿 0 | 赋 1 | 娃 2 | 逢 3 | 漂 4 | 莲 5 | 棵 6 | 罕 7 | 晶 8 | 唤 9 | 

屈 : 莲 0 | 罕 1 | 逢 2 | 唤 3 | 赋 4 | 翼 5 | 姿 6 | 柜 7 | 娃 8 | 攀 9 | 

屏 : 翼 0 | 柜 1 | 唤 2 | 攀 3 | 罕 4 | 糖 5 | 莲 6 | 尘 7 | 逢 8 | 壤 9 | 

虾 : 糖 0 | 尘 1 | 攀 2 | 壤 3 | 柜 4 | 弊 5 | 翼 6 | 邹 7 | 唤 8 | 氧 9 | 

砍 : 弊 0 | 邹 1 | 壤 2 | 氧 3 | 尘 4 | 吐 5 | 糖 6 | 袁 7 | 攀 8 | 逼 9 | 

饲 : 吐 0 | 袁 1 | 氧 2 | 逼 3 | 邹 4 | 玲 5 | 弊 6 | 庙 7 | 壤 8 | 踪 9 | 

冻 : 玲 0 | 庙 1 | 逼 2 | 踪 3 | 袁 4 | 慕 5 | 吐 6 | 墓 7 | 氧 8 | 撑 9 | 

披 : 慕 0 | 墓 1 | 踪 2 | 撑 3 | 庙 4 | 艳 5 | 玲 6 | 锭 7 | 逼 8 | 抛 9 | 

丈 : 艳 0 | 锭 1 | 撑 2 | 抛 3 | 墓 4 | 厄 5 | 慕 6 | 饲 7 | 踪 8 | 鹿 9 | 

娜 : 厄 0 | 饲 1 | 抛 2 | 鹿 3 | 锭 4 | 仔 5 | 艳 6 | 锅 7 | 撑 8 | 鸿 9 | 

琛 : 仔 0 | 锅 1 | 鹿 2 | 鸿 3 | 饲 4 | 淹 5 | 厄 6 | 谨 7 | 抛 8 | 丢 9 | 

盼 : 淹 0 | 谨 1 | 鸿 2 | 丢 3 | 锅 4 | 嘴 5 | 仔 6 | 庞 7 | 鹿 8 | 卿 9 | 

闯 : 嘴 0 | 庞 1 | 丢 2 | 卿 3 | 谨 4 | 荐 5 | 淹 6 | 埋 7 | 鸿 8 | 框 9 | 

玛 : 荐 0 | 埋 1 | 卿 2 | 框 3 | 庞 4 | 插 5 | 嘴 6 | 苍 7 | 丢 8 | 浸 9 | 

嘴 : 插 0 | 苍 1 | 框 2 | 浸 3 | 埋 4 | 娱 5 | 荐 6 | 函 7 | 卿 8 | 蓬 9 | 

胸 : 娱 0 | 函 1 | 浸 2 | 蓬 3 | 苍 4 | 垸 5 | 插 6 | 桃 7 | 框 8 | 瞩 9 | 

烦 : 垸 0 | 桃 1 | 蓬 2 | 瞩 3 | 函 4 | 怨 5 | 娱 6 | 砖 7 | 浸 8 | 篷 9 | 

聪 : 怨 0 | 砖 1 | 瞩 2 | 篷 3 | 桃 4 | 绵 5 | 垸 6 | 骤 7 | 蓬 8 | 桶 9 | 

昭 : 绵 0 | 骤 1 | 篷 2 | 桶 3 | 砖 4 | 滴 5 | 怨 6 | 仆 7 | 瞩 8 | 幽 9 | 

钓 : 滴 0 | 仆 1 | 桶 2 | 幽 3 | 骤 4 | 抚 5 | 绵 6 | 紫 7 | 篷 8 | 慈 9 | 

鹤 : 抚 0 | 紫 1 | 幽 2 | 慈 3 | 仆 4 | 赈 5 | 滴 6 | 炉 7 | 桶 8 | 璇 9 | 

颂 : 赈 0 | 炉 1 | 慈 2 | 璇 3 | 紫 4 | 匆 5 | 抚 6 | 迄 7 | 幽 8 | 缔 9 | 

昔 : 匆 0 | 迄 1 | 璇 2 | 缔 3 | 炉 4 | 尉 5 | 赈 6 | 拳 7 | 慈 8 | 梯 9 | 

泊 : 尉 0 | 拳 1 | 缔 2 | 梯 3 | 迄 4 | 弥 5 | 匆 6 | 玻 7 | 璇 8 | 羽 9 | 

茫 : 弥 0 | 玻 1 | 梯 2 | 羽 3 | 拳 4 | 琼 5 | 尉 6 | 页 7 | 缔 8 | 茨 9 | 

猫 : 琼 0 | 页 1 | 羽 2 | 茨 3 | 玻 4 | 宴 5 | 弥 6 | 熊 7 | 梯 8 | 炒 9 | 

浅 : 宴 0 | 熊 1 | 茨 2 | 炒 3 | 页 4 | 撞 5 | 琼 6 | 碎 7 | 羽 8 | 甜 9 | 

爸 : 撞 0 | 碎 1 | 炒 2 | 甜 3 | 熊 4 | 蹈 5 | 宴 6 | 惑 7 | 茨 8 | Ｎ 9 | 

虹 : 蹈 0 | 惑 1 | 甜 2 | Ｎ 3 | 碎 4 | 瓶 5 | 撞 6 | 稍 7 | 炒 8 | 皆 9 | 

Ｎ : 瓶 0 | 稍 1 | Ｎ 2 | 皆 3 | 惑 4 | 廊 5 | 蹈 6 | 彦 7 | 甜 8 | 乒 9 | 

垂 : 廊 0 | 彦 1 | 皆 2 | 乒 3 | 稍 4 | 艘 5 | 瓶 6 | 轿 7 | Ｎ 8 | 腿 9 | 

喀 : 艘 0 | 轿 1 | 乒 2 | 腿 3 | 彦 4 | 驰 5 | 廊 6 | 郁 7 | 皆 8 | 誓 9 | 

逆 : 驰 0 | 郁 1 | 腿 2 | 誓 3 | 轿 4 | 尺 5 | 艘 6 | 塌 7 | 乒 8 | 磊 9 | 

柔 : 尺 0 | 塌 1 | 誓 2 | 磊 3 | 郁 4 | 侯 5 | 驰 6 | 抬 7 | 腿 8 | 碰 9 | 

挫 : 侯 0 | 抬 1 | 磊 2 | 碰 3 | 塌 4 | 寅 5 | 尺 6 | 滔 7 | 誓 8 | 浅 9 | 

绳 : 寅 0 | 滔 1 | 碰 2 | 浅 3 | 抬 4 | 赚 5 | 侯 6 | 串 7 | 磊 8 | 粒 9 | 

卜 : 赚 0 | 串 1 | 浅 2 | 粒 3 | 滔 4 | 诱 5 | 寅 6 | 碧 7 | 碰 8 | 渴 9 | 

畏 : 诱 0 | 碧 1 | 粒 2 | 渴 3 | 串 4 | 喷 5 | 赚 6 | 冈 7 | 浅 8 | 帐 9 | 

狂 : 喷 0 | 冈 1 | 渴 2 | 帐 3 | 碧 4 | 孕 5 | 诱 6 | 劝 7 | 粒 8 | 畏 9 | 

仔 : 孕 0 | 劝 1 | 帐 2 | 畏 3 | 冈 4 | 遏 5 | 喷 6 | 帅 7 | 渴 8 | Ｏ 9 | 

磁 : 遏 0 | 帅 1 | 畏 2 | Ｏ 3 | 劝 4 | 俩 5 | 孕 6 | 袖 7 | 帐 8 | 讼 9 | 

插 : 俩 0 | 袖 1 | Ｏ 2 | 讼 3 | 帅 4 | 爸 5 | 遏 6 | 碗 7 | 畏 8 | 揽 9 | 

灿 : 爸 0 | 碗 1 | 讼 2 | 揽 3 | 袖 4 | 菊 5 | 俩 6 | 胎 7 | Ｏ 8 | 魅 9 | 

彦 : 菊 0 | 胎 1 | 揽 2 | 魅 3 | 碗 4 | 憾 5 | 爸 6 | 屡 7 | 讼 8 | 葛 9 | 

稍 : 憾 0 | 屡 1 | 魅 2 | 葛 3 | 胎 4 | 契 5 | 菊 6 | 坪 7 | 揽 8 | 渗 9 | 

坑 : 契 0 | 坪 1 | 葛 2 | 渗 3 | 屡 4 | 暑 5 | 憾 6 | 骄 7 | 魅 8 | 辰 9 | 

癌 : 暑 0 | 骄 1 | 渗 2 | 辰 3 | 坪 4 | 披 5 | 契 6 | 杆 7 | 葛 8 | 侦 9 | 

赚 : 披 0 | 杆 1 | 辰 2 | 侦 3 | 骄 4 | 挽 5 | 暑 6 | 朵 7 | 渗 8 | 缝 9 | 

寺 : 挽 0 | 朵 1 | 侦 2 | 缝 3 | 杆 4 | 颜 5 | 披 6 | 悦 7 | 辰 8 | 哭 9 | 

夹 : 颜 0 | 悦 1 | 缝 2 | 哭 3 | 朵 4 | 谴 5 | 挽 6 | 戊 7 | 侦 8 | 虹 9 | 

衫 : 谴 0 | 戊 1 | 哭 2 | 虹 3 | 悦 4 | 谱 5 | 颜 6 | 亭 7 | 缝 8 | 昔 9 | 

垸 : 谱 0 | 亭 1 | 虹 2 | 昔 3 | 戊 4 | 惨 5 | 谴 6 | 烦 7 | 哭 8 | 敲 9 | 

竣 : 惨 0 | 烦 1 | 昔 2 | 敲 3 | 亭 4 | 奈 5 | 谱 6 | 罢 7 | 虹 8 | 坊 9 | 

攀 : 奈 0 | 罢 1 | 敲 2 | 坊 3 | 烦 4 | 挣 5 | 惨 6 | 肿 7 | 昔 8 | 夹 9 | 

韦 : 挣 0 | 肿 1 | 坊 2 | 夹 3 | 罢 4 | 悟 5 | 奈 6 | 坑 7 | 敲 8 | 溢 9 | 

垒 : 悟 0 | 坑 1 | 夹 2 | 溢 3 | 肿 4 | 敞 5 | 挣 6 | 劫 7 | 坊 8 | 逆 9 | 

劝 : 敞 0 | 劫 1 | 溢 2 | 逆 3 | 坑 4 | 闸 5 | 悟 6 | 俭 7 | 夹 8 | 弗 9 | 

肤 : 闸 0 | 俭 1 | 逆 2 | 弗 3 | 劫 4 | 溃 5 | 敞 6 | 佐 7 | 溢 8 | 撰 9 | 

戚 : 溃 0 | 佐 1 | 弗 2 | 撰 3 | 俭 4 | 僵 5 | 闸 6 | 菌 7 | 逆 8 | 窝 9 | 

憾 : 僵 0 | 菌 1 | 撰 2 | 窝 3 | 佐 4 | 铭 5 | 溃 6 | 挡 7 | 弗 8 | 柔 9 | 

蕴 : 铭 0 | 挡 1 | 窝 2 | 柔 3 | 菌 4 | 仲 5 | 僵 6 | 磁 7 | 撰 8 | 欺 9 | 

荆 : 仲 0 | 磁 1 | 柔 2 | 欺 3 | 挡 4 | 仙 5 | 铭 6 | 睦 7 | 窝 8 | 洒 9 | 

魁 : 仙 0 | 睦 1 | 欺 2 | 洒 3 | 磁 4 | 骑 5 | 仲 6 | Ｅ 7 | 柔 8 | 酷 9 | 

辐 : 骑 0 | Ｅ 1 | 洒 2 | 酷 3 | 睦 4 | 缉 5 | 仙 6 | 垒 7 | 欺 8 | 爬 9 | 

仲 : 缉 0 | 垒 1 | 酷 2 | 爬 3 | Ｅ 4 | 逻 5 | 骑 6 | 吊 7 | 洒 8 | 昭 9 | 

侦 : 逻 0 | 吊 1 | 爬 2 | 昭 3 | 垒 4 | 琳 5 | 缉 6 | 仗 7 | 酷 8 | 糊 9 | 

雇 : 琳 0 | 仗 1 | 昭 2 | 糊 3 | 吊 4 | 酿 5 | 逻 6 | 帽 7 | 爬 8 | 茫 9 | 

幢 : 酿 0 | 帽 1 | 糊 2 | 茫 3 | 仗 4 | 呆 5 | 琳 6 | 咱 7 | 昭 8 | 翰 9 | 

衔 : 呆 0 | 咱 1 | 茫 2 | 翰 3 | 帽 4 | 洽 5 | 酿 6 | 龚 7 | 糊 8 | 愧 9 | 

疲 : 洽 0 | 龚 1 | 翰 2 | 愧 3 | 咱 4 | 凶 5 | 呆 6 | 垄 7 | 茫 8 | 赁 9 | 

艘 : 凶 0 | 垄 1 | 愧 2 | 赁 3 | 龚 4 | 霸 5 | 洽 6 | 茅 7 | 翰 8 | 骚 9 | 

谱 : 霸 0 | 茅 1 | 赁 2 | 骚 3 | 垄 4 | 傲 5 | 凶 6 | 挫 7 | 愧 8 | 脆 9 | 

崭 : 傲 0 | 挫 1 | 骚 2 | 脆 3 | 茅 4 | 邯 5 | 霸 6 | 坎 7 | 赁 8 | 抑 9 | 

蕉 : 邯 0 | 坎 1 | 脆 2 | 抑 3 | 挫 4 | 垂 5 | 傲 6 | 萍 7 | 骚 8 | 姚 9 | 

抛 : 垂 0 | 萍 1 | 抑 2 | 姚 3 | 坎 4 | 绳 5 | 邯 6 | 竭 7 | 脆 8 | ＋ 9 | 

幻 : 绳 0 | 竭 1 | 姚 2 | ＋ 3 | 萍 4 | 拦 5 | 垂 6 | 韵 7 | 抑 8 | 颂 9 | 

帅 : 拦 0 | 韵 1 | ＋ 2 | 颂 3 | 竭 4 | 遣 5 | 绳 6 | 腊 7 | 姚 8 | 斜 9 | 

仗 : 遣 0 | 腊 1 | 颂 2 | 斜 3 | 韵 4 | 冶 5 | 拦 6 | 掀 7 | ＋ 8 | 蕴 9 | 

睹 : 冶 0 | 掀 1 | 斜 2 | 蕴 3 | 腊 4 | 幻 5 | 遣 6 | 眉 7 | 颂 8 | ○ 9 | 

挣 : 幻 0 | 眉 1 | 蕴 2 | ○ 3 | 掀 4 | 儒 5 | 冶 6 | 璃 7 | 斜 8 | 栋 9 | 

愁 : 儒 0 | 璃 1 | ○ 2 | 栋 3 | 眉 4 | 殷 5 | 幻 6 | 鼠 7 | 蕴 8 | 孝 9 | 

勋 : 殷 0 | 鼠 1 | 栋 2 | 孝 3 | 璃 4 | 瓷 5 | 儒 6 | 殿 7 | ○ 8 | 涂 9 | 

芭 : 瓷 0 | 殿 1 | 孝 2 | 涂 3 | 鼠 4 | 逾 5 | 殷 6 | 晰 7 | 栋 8 | Ｇ 9 | 

缉 : 逾 0 | 晰 1 | 涂 2 | Ｇ 3 | 殿 4 | 哀 5 | 瓷 6 | 丘 7 | 孝 8 | 聪 9 | 

喇 : 哀 0 | 丘 1 | Ｇ 2 | 聪 3 | 晰 4 | 蔓 5 | 逾 6 | 膜 7 | 涂 8 | 掩 9 | 

菊 : 蔓 0 | 膜 1 | 聪 2 | 掩 3 | 丘 4 | 乓 5 | 哀 6 | 昼 7 | Ｇ 8 | 钩 9 | 

肆 : 乓 0 | 昼 1 | 掩 2 | 钩 3 | 膜 4 | 啤 5 | 蔓 6 | 呀 7 | 聪 8 | 缆 9 | 

酿 : 啤 0 | 呀 1 | 钩 2 | 缆 3 | 昼 4 | 薛 5 | 乓 6 | 勋 7 | 掩 8 | 泄 9 | 

肝 : 薛 0 | 勋 1 | 缆 2 | 泄 3 | 呀 4 | 砍 5 | 啤 6 | 昏 7 | 钩 8 | 魔 9 | 

菌 : 砍 0 | 昏 1 | 泄 2 | 魔 3 | 勋 4 | 酬 5 | 薛 6 | 乙 7 | 缆 8 | 叔 9 | 

谐 : 酬 0 | 乙 1 | 魔 2 | 叔 3 | 昏 4 | 谭 5 | 砍 6 | 匹 7 | 泄 8 | 灿 9 | 

邵 : 谭 0 | 匹 1 | 叔 2 | 灿 3 | 乙 4 | 乳 5 | 酬 6 | 淑 7 | 魔 8 | 翁 9 | 

藤 : 乳 0 | 淑 1 | 灿 2 | 翁 3 | 匹 4 | 蕾 5 | 谭 6 | 甸 7 | 叔 8 | 雇 9 | 

沪 : 蕾 0 | 甸 1 | 翁 2 | 雇 3 | 淑 4 | 睹 5 | 乳 6 | 搜 7 | 灿 8 | 纤 9 | 

醉 : 睹 0 | 搜 1 | 雇 2 | 纤 3 | 甸 4 | 卜 5 | 蕾 6 | 腹 7 | 翁 8 | 擅 9 | 

滴 : 卜 0 | 腹 1 | 纤 2 | 擅 3 | 搜 4 | 浇 5 | 睹 6 | 哨 7 | 雇 8 | 肆 9 | 

惨 : 浇 0 | 哨 1 | 擅 2 | 肆 3 | 腹 4 | 杉 5 | 卜 6 | 瘤 7 | 纤 8 | 踢 9 | 

淤 : 杉 0 | 瘤 1 | 肆 2 | 踢 3 | 哨 4 | 婆 5 | 浇 6 | 辣 7 | 擅 8 | 崔 9 | 

杉 : 婆 0 | 辣 1 | 踢 2 | 崔 3 | 瘤 4 | 豫 5 | 杉 6 | 巷 7 | 肆 8 | 吞 9 | 

抒 : 豫 0 | 巷 1 | 崔 2 | 吞 3 | 辣 4 | 醉 5 | 婆 6 | 雾 7 | 踢 8 | 祸 9 | 

臭 : 醉 0 | 雾 1 | 吞 2 | 祸 3 | 巷 4 | 谐 5 | 豫 6 | 盒 7 | 崔 8 | 肝 9 | 

眉 : 谐 0 | 盒 1 | 祸 2 | 肝 3 | 雾 4 | 催 5 | 醉 6 | 狮 7 | 吞 8 | 夸 9 | 

洽 : 催 0 | 狮 1 | 肝 2 | 夸 3 | 盒 4 | 焕 5 | 谐 6 | 踊 7 | 祸 8 | 衔 9 | 

雾 : 焕 0 | 踊 1 | 夸 2 | 衔 3 | 狮 4 | 浑 5 | 催 6 | ｅ 7 | 肝 8 | 窃 9 | 

勉 : 浑 0 | ｅ 1 | 衔 2 | 窃 3 | 踊 4 | 戚 5 | 焕 6 | 捧 7 | 夸 8 | 腔 9 | 

缅 : 戚 0 | 捧 1 | 窃 2 | 腔 3 | ｅ 4 | 卧 5 | 浑 6 | 喀 7 | 衔 8 | 剪 9 | 

禹 : 卧 0 | 喀 1 | 腔 2 | 剪 3 | 捧 4 | 嫂 5 | 戚 6 | 屠 7 | 窃 8 | 笼 9 | 

浸 : 嫂 0 | 屠 1 | 剪 2 | 笼 3 | 喀 4 | 嫁 5 | 卧 6 | 辜 7 | 腔 8 | 竣 9 | 

龚 : 嫁 0 | 辜 1 | 笼 2 | 竣 3 | 屠 4 | 丑 5 | 嫂 6 | 弯 7 | 剪 8 | 拘 9 | 

殿 : 丑 0 | 弯 1 | 竣 2 | 拘 3 | 辜 4 | 寸 5 | 嫁 6 | 翔 7 | 笼 8 | 魄 9 | 

愧 : 寸 0 | 翔 1 | 拘 2 | 魄 3 | 弯 4 | 狗 5 | 丑 6 | 铸 7 | 竣 8 | 诈 9 | 

巾 : 狗 0 | 铸 1 | 魄 2 | 诈 3 | 翔 4 | 柯 5 | 寸 6 | Ｆ 7 | 拘 8 | 薪 9 | 

炳 : 柯 0 | Ｆ 1 | 诈 2 | 薪 3 | 铸 4 | 愁 5 | 狗 6 | 斑 7 | 魄 8 | 愤 9 | 

啥 : 愁 0 | 斑 1 | 薪 2 | 愤 3 | Ｆ 4 | 厘 5 | 柯 6 | 剥 7 | 诈 8 | 崭 9 | 

罐 : 厘 0 | 剥 1 | 愤 2 | 崭 3 | 斑 4 | 啡 5 | 愁 6 | 恋 7 | 薪 8 | 狱 9 | 

翠 : 啡 0 | 恋 1 | 崭 2 | 狱 3 | 剥 4 | 钓 5 | 厘 6 | 缅 7 | 愤 8 | 谦 9 | 

彬 : 钓 0 | 缅 1 | 狱 2 | 谦 3 | 恋 4 | 禽 5 | 啡 6 | 葬 7 | 崭 8 | 奢 9 | 

拾 : 禽 0 | 葬 1 | 谦 2 | 奢 3 | 缅 4 | 聊 5 | 钓 6 | 咖 7 | 狱 8 | 卸 9 | 

斑 : 聊 0 | 咖 1 | 奢 2 | 卸 3 | 葬 4 | 帆 5 | 禽 6 | 尿 7 | 谦 8 | 辱 9 | 

拘 : 帆 0 | 尿 1 | 卸 2 | 辱 3 | 咖 4 | 歹 5 | 聊 6 | 挨 7 | 奢 8 | 庸 9 | 

孕 : 歹 0 | 挨 1 | 辱 2 | 庸 3 | 尿 4 | 怒 5 | 帆 6 | 尹 7 | 卸 8 | 赣 9 | 

沾 : 怒 0 | 尹 1 | 庸 2 | 赣 3 | 挨 4 | 捞 5 | 歹 6 | 肇 7 | 辱 8 | 逮 9 | 

吞 : 捞 0 | 肇 1 | 赣 2 | 逮 3 | 尹 4 | 畔 5 | 怒 6 | 澜 7 | 庸 8 | 淀 9 | 

Ｈ : 畔 0 | 澜 1 | 逮 2 | 淀 3 | 肇 4 | 沪 5 | 捞 6 | 鸭 7 | 赣 8 | 廖 9 | 

淹 : 沪 0 | 鸭 1 | 淀 2 | 廖 3 | 澜 4 | 涯 5 | 畔 6 | 鼎 7 | 逮 8 | 邱 9 | 

楠 : 涯 0 | 鼎 1 | 廖 2 | 邱 3 | 鸭 4 | 秉 5 | 沪 6 | 翠 7 | 淀 8 | 泼 9 | 

猖 : 秉 0 | 翠 1 | 邱 2 | 泼 3 | 鼎 4 | 囊 5 | 涯 6 | 矶 7 | 廖 8 | 暨 9 | 

