。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 
锄 : 嬉 0 | 栅 1 | 酱 2 | 腕 3 | 兮 4 | 

腕 : 钮 0 | 臻 1 | 腕 2 | 砥 3 | 栅 4 | 

摒 : 颐 0 | 靡 1 | 砥 2 | 榻 3 | 臻 4 | 

莺 : 烘 0 | 掺 1 | 榻 2 | 屹 3 | 靡 4 | 

颐 : 绞 0 | 渺 1 | 屹 2 | ｈ 3 | 掺 4 | 

衅 : 烯 0 | 蹦 1 | ｈ 2 | 琐 3 | 渺 4 | 

粪 : 柿 0 | 惶 1 | 琐 2 | 梧 3 | 蹦 4 | 

啸 : 哇 0 | 竿 1 | 梧 2 | 雏 3 | 惶 4 | 

侣 : 傣 0 | 衢 1 | 雏 2 | 咄 3 | 竿 4 | 

媛 : 韶 0 | 淳 1 | 咄 2 | 矣 3 | 衢 4 | 

髦 : 栩 0 | 瓣 1 | 矣 2 | 祺 3 | 淳 4 | 

哉 : 踵 0 | 洙 1 | 祺 2 | 韬 3 | 瓣 4 | 

肾 : 虞 0 | 曦 1 | 韬 2 | 涪 3 | 洙 4 | 

葆 : 讴 0 | 凛 1 | 涪 2 | 榨 3 | 曦 4 | 

陲 : 缤 0 | 隘 1 | 榨 2 | 氢 3 | 凛 4 | 

夷 : 篆 0 | 窜 1 | 氢 2 | 氟 3 | 隘 4 | 

岔 : 庇 0 | 贼 1 | 氟 2 | 毋 3 | 窜 4 | 

咐 : 裴 0 | 矗 1 | 毋 2 | 漪 3 | 贼 4 | 

菏 : 坍 0 | 巫 1 | 漪 2 | 蜀 3 | 矗 4 | 

邃 : 蚊 0 | 堕 1 | 蜀 2 | 炕 3 | 巫 4 | 

娅 : 棺 0 | 吼 1 | 炕 2 | 恙 3 | 堕 4 | 

篓 : 碘 0 | 皱 1 | 恙 2 | 仕 3 | 吼 4 | 

诠 : 瀑 0 | 盔 1 | 仕 2 | 匮 3 | 皱 4 | 

蠢 : 孵 0 | 冼 1 | 匮 2 | 犬 3 | 盔 4 | 

胥 : 沁 0 | 锹 1 | 犬 2 | 瑜 3 | 冼 4 | 

瑜 : 烨 0 | 瀚 1 | 瑜 2 | 怠 3 | 锹 4 | 

琐 : 蹄 0 | 铎 1 | 怠 2 | 淄 3 | 瀚 4 | 

猥 : 潢 0 | 紊 1 | 淄 2 | 殡 3 | 铎 4 | 

苛 : 窘 0 | 羁 1 | 殡 2 | 滤 3 | 紊 4 | 

跤 : 辙 0 | 绽 1 | 滤 2 | 毗 3 | 羁 4 | 

隙 : 贱 0 | ｄ 1 | 毗 2 | 梳 3 | 绽 4 | 

淆 : 礴 0 | 恤 1 | 梳 2 | 甬 3 | ｄ 4 | 

酱 : 祁 0 | 帖 1 | 甬 2 | 郡 3 | 恤 4 | 

筝 : 勿 0 | 崴 1 | 郡 2 | 钙 3 | 帖 4 | 

佣 : 逗 0 | 寝 1 | 钙 2 | 潺 3 | 崴 4 | 

啼 : 肴 0 | 桓 1 | 潺 2 | 揪 3 | 寝 4 | 

匡 : 耍 0 | 侄 1 | 揪 2 | 劈 3 | 桓 4 | 

坯 : 蕉 0 | 筐 1 | 劈 2 | 眸 3 | 侄 4 | 

趴 : 棕 0 | 亢 1 | 眸 2 | 炜 3 | 筐 4 | 

抠 : Ｙ 0 | 馒 1 | 炜 2 | 筷 3 | 亢 4 | 

笃 : 禾 0 | 佣 1 | 筷 2 | 殴 3 | 馒 4 | 

漉 : 掷 0 | 镀 1 | 殴 2 | 澡 3 | 佣 4 | 

侄 : 恍 0 | 锚 1 | 澡 2 | 绰 3 | 镀 4 | 

盏 : 摒 0 | 弓 1 | 绰 2 | 瘠 3 | 锚 4 | 

痫 : 籽 0 | 褐 1 | 瘠 2 | 骏 3 | 弓 4 | 

钊 : 哉 0 | 辗 1 | 骏 2 | 氓 3 | 褐 4 | 

佑 : 亥 0 | 汶 1 | 氓 2 | 锯 3 | 辗 4 | 

迩 : 篪 0 | 荔 1 | 锯 2 | 膊 3 | 汶 4 | 

皱 : 藉 0 | 拌 1 | 膊 2 | 滦 3 | 荔 4 | 

炜 : 炽 0 | 莓 1 | 滦 2 | 簸 3 | 拌 4 | 

掷 : 譬 0 | 穹 1 | 簸 2 | 溅 3 | 莓 4 | 

涅 : 锄 0 | 娄 1 | 溅 2 | 蚁 3 | 穹 4 | 

孵 : 胳 0 | 璀 1 | 蚁 2 | 峦 3 | 娄 4 | 

窘 : 娩 0 | 漾 1 | 峦 2 | 窖 3 | 璀 4 | 

椎 : 刁 0 | 憋 1 | 窖 2 | 枫 3 | 漾 4 | 

潢 : 焘 0 | 娴 1 | 枫 2 | ─ 3 | 憋 4 | 

绮 : 璨 0 | 夭 1 | ─ 2 | 囚 3 | 娴 4 | 

刨 : 跤 0 | 疮 1 | 囚 2 | 蝉 3 | 夭 4 | 

蒗 : 圃 0 | 莽 1 | 蝉 2 | 坞 3 | 疮 4 | 

酵 : 悖 0 | 渲 1 | 坞 2 | 撬 3 | 莽 4 | 

侠 : 涤 0 | 猩 1 | 撬 2 | 噬 3 | 渲 4 | 

翘 : 斓 0 | 拙 1 | 噬 2 | 棣 3 | 猩 4 | 

芹 : 澎 0 | 髦 1 | 棣 2 | 侮 3 | 拙 4 | 

① : 鲤 0 | 翘 1 | 侮 2 | 藻 3 | 髦 4 | 

镌 : 鳗 0 | 劾 1 | 藻 2 | 暹 3 | 翘 4 | 

擂 : 锲 0 | 蚌 1 | 暹 2 | 栓 3 | 劾 4 | 

蓓 : 倚 0 | 栾 1 | 栓 2 | ① 3 | 蚌 4 | 

坞 : 椿 0 | 梗 1 | ① 2 | 祠 3 | 栾 4 | 

摹 : 憬 0 | 坯 1 | 祠 2 | 姥 3 | 梗 4 | 

扒 : 隋 0 | 煽 1 | 姥 2 | 捣 3 | 坯 4 | 

涡 : 捎 0 | 蜒 1 | 捣 2 | 颓 3 | 煽 4 | 

俨 : 镌 0 | 诠 1 | 颓 2 | 袍 3 | 蜒 4 | 

榕 : 乞 0 | 夯 1 | 袍 2 | ② 3 | 诠 4 | 

湃 : 憨 0 | 邑 1 | ② 2 | 嘲 3 | 夯 4 | 

梓 : 氯 0 | 蠢 1 | 嘲 2 | 祷 3 | 邑 4 | 

泗 : 岔 0 | 痒 1 | 祷 2 | 槟 3 | 蠢 4 | 

驿 : 榕 0 | 漩 1 | 槟 2 | 町 3 | 痒 4 | 

柑 : 瘁 0 | 纫 1 | 町 2 | 瑾 3 | 漩 4 | 

锚 : 鹭 0 | Ｊ 1 | 瑾 2 | 蜿 3 | 纫 4 | 

铱 : 橱 0 | 缮 1 | 蜿 2 | 熄 3 | Ｊ 4 | 

蜡 : 峨 0 | 歼 1 | 熄 2 | 哟 3 | 缮 4 | 

滦 : 乖 0 | 壑 1 | 哟 2 | 谛 3 | 歼 4 | 

鳅 : 蟹 0 | 鳞 1 | 谛 2 | 憧 3 | 壑 4 | 

迢 : 蘑 0 | 咀 1 | 憧 2 | 皎 3 | 鳞 4 | 

藉 : 帧 0 | 吏 1 | 皎 2 | 娶 3 | 咀 4 | 

弧 : 冗 0 | 鸥 1 | 娶 2 | 咕 3 | 吏 4 | 

钰 : 矫 0 | 拴 1 | 咕 2 | 刨 3 | 鸥 4 | 

痰 : 爪 0 | 恬 1 | 刨 2 | 喃 3 | 拴 4 | 

惋 : 侍 0 | 惦 1 | 喃 2 | 畸 3 | 恬 4 | 

婷 : 巅 0 | 雍 1 | 畸 2 | 褒 3 | 惦 4 | 

霆 : 腥 0 | 梢 1 | 褒 2 | 熠 3 | 雍 4 | 

峥 : 娓 0 | 骥 1 | 熠 2 | 骸 3 | 梢 4 | 

萤 : 嚷 0 | 骋 1 | 骸 2 | 泞 3 | 骥 4 | 

醋 : 肘 0 | 疤 1 | 泞 2 | 抨 3 | 骋 4 | 

榨 : 鹊 0 | 瑛 1 | 抨 2 | 檐 3 | 疤 4 | 

澎 : 侥 0 | 缭 1 | 檐 2 | 猿 3 | 瑛 4 | 

锲 : 岐 0 | 谬 1 | 猿 2 | 酵 3 | 缭 4 | 

倚 : ③ 0 | 匀 1 | 酵 2 | 倩 3 | 谬 4 | 

溅 : 檀 0 | 侗 1 | 倩 2 | 哮 3 | 匀 4 | 

臧 : 臃 0 | 迂 1 | 哮 2 | 皑 3 | 侗 4 | 

玫 : 衅 0 | 敛 1 | 皑 2 | 麋 3 | 迂 4 | 

蛀 : 毓 0 | 囿 1 | 麋 2 | 陲 3 | 敛 4 | 

槌 : 虔 0 | 廓 1 | 陲 2 | 霓 3 | 囿 4 | 

侍 : 绊 0 | 垣 1 | 霓 2 | 窥 3 | 廓 4 | 

贻 : 庵 0 | 梓 1 | 窥 2 | 拎 3 | 垣 4 | 

藁 : 蝎 0 | 啼 1 | 拎 2 | 泓 3 | 梓 4 | 

徜 : 胧 0 | 朦 1 | 泓 2 | 碾 3 | 啼 4 | 

掰 : 曳 0 | 篡 1 | 碾 2 | 陀 3 | 朦 4 | 

诙 : 袜 0 | 愣 1 | 陀 2 | 沅 3 | 篡 4 | 

泸 : 侣 0 | 殉 1 | 沅 2 | 锌 3 | 愣 4 | 

啪 : 饪 0 | 槛 1 | 锌 2 | 婿 3 | 殉 4 | 

③ : 咎 0 | 谎 1 | 婿 2 | 擀 3 | 槛 4 | 

拎 : 伺 0 | 屁 1 | 擀 2 | 粟 3 | 谎 4 | 

矫 : 鲸 0 | 窍 1 | 粟 2 | 柄 3 | 屁 4 | 

瞪 : 酶 0 | 邃 1 | 柄 2 | 薇 3 | 窍 4 | 

祁 : 睫 0 | 酥 1 | 薇 2 | 挟 3 | 邃 4 | 

揪 : 摹 0 | 禺 1 | 挟 2 | 孰 3 | 酥 4 | 

挟 : 拮 0 | 煎 1 | 孰 2 | 铉 3 | 禺 4 | 

嵘 : 勺 0 | 扁 1 | 铉 2 | 磕 3 | 煎 4 | 

狡 : 瞎 0 | 酌 1 | 磕 2 | 恕 3 | 扁 4 | 

虔 : 瞰 0 | 寐 1 | 恕 2 | 舅 3 | 酌 4 | 

辗 : 谧 0 | 橙 1 | 舅 2 | 阂 3 | 寐 4 | 

陨 : 晾 0 | 莘 1 | 阂 2 | 摞 3 | 橙 4 | 

嘘 : 伫 0 | 瀛 1 | 摞 2 | 萦 3 | 莘 4 | 

舅 : 茧 0 | 琉 1 | 萦 2 | 樟 3 | 瀛 4 | 

燮 : 稠 0 | 泾 1 | 樟 2 | 湃 3 | 琉 4 | 

兀 : 郅 0 | 炫 1 | 湃 2 | 偌 3 | 泾 4 | 

廓 : 搀 0 | 靳 1 | 偌 2 | 酣 3 | 炫 4 | 

穹 : 炙 0 | 诙 1 | 酣 2 | 雹 3 | 靳 4 | 

馒 : 痰 0 | 戍 1 | 雹 2 | 噩 3 | 诙 4 | 

诽 : 宕 0 | 伽 1 | 噩 2 | 湍 3 | 戍 4 | 

辫 : 窦 0 | 糙 1 | 湍 2 | 诿 3 | 伽 4 | 

轶 : 雌 0 | 悍 1 | 诿 2 | 驹 3 | 糙 4 | 

芋 : 弈 0 | 蔗 1 | 驹 2 | 嗜 3 | 悍 4 | 

哮 : 阪 0 | 袒 1 | 嗜 2 | 瞪 3 | 蔗 4 | 

谤 : 沱 0 | 蔼 1 | 瞪 2 | 铨 3 | 袒 4 | 

岌 : 拧 0 | 柚 1 | 铨 2 | 陇 3 | 蔼 4 | 

骋 : 翌 0 | 芙 1 | 陇 2 | 飙 3 | 柚 4 | 

粱 : 撂 0 | 缜 1 | 飙 2 | 榴 3 | 芙 4 | 

驹 : 鏖 0 | 揉 1 | 榴 2 | 弧 3 | 缜 4 | 

拄 : 谍 0 | 叩 1 | 弧 2 | 趴 3 | 揉 4 | 

炙 : 涿 0 | 烙 1 | 趴 2 | 殆 3 | 叩 4 | 

撮 : 黯 0 | 洱 1 | 殆 2 | 憩 3 | 烙 4 | 

眶 : 赡 0 | 瘟 1 | 憩 2 | 姬 3 | 洱 4 | 

栩 : 璧 0 | 汩 1 | 姬 2 | 逞 3 | 瘟 4 | 

恬 : 咆 0 | 濡 1 | 逞 2 | 笨 3 | 汩 4 | 

袤 : 膛 0 | 墒 1 | 笨 2 | 驯 3 | 濡 4 | 

妖 : 霏 0 | 擎 1 | 驯 2 | 擒 3 | 墒 4 | 

蓦 : 棱 0 | 殃 1 | 擒 2 | 毙 3 | 擎 4 | 

琶 : 铀 0 | 钾 1 | 毙 2 | 煦 3 | 殃 4 | 

媲 : 舫 0 | 蜚 1 | 煦 2 | 瓢 3 | 钾 4 | 

褥 : 姊 0 | 垠 1 | 瓢 2 | 岌 3 | 蜚 4 | 

‰ : 醋 0 | 谙 1 | 岌 2 | 驴 3 | 垠 4 | 

瓣 : 莺 0 | 璋 1 | 驴 2 | 颅 3 | 谙 4 | 

蚌 : 砺 0 | 犷 1 | 颅 2 | 铱 3 | 璋 4 | 

膛 : 涣 0 | 郴 1 | 铱 2 | 馓 3 | 犷 4 | 

淇 : 垛 0 | 瑙 1 | 馓 2 | 纶 3 | 郴 4 | 

濮 : 闺 0 | 诬 1 | 纶 2 | 疚 3 | 瑙 4 | 

屎 : 吆 0 | 诣 1 | 疚 2 | 茁 3 | 诬 4 | 

荤 : 沮 0 | 缨 1 | 茁 2 | 拄 3 | 诣 4 | 

逍 : 榭 0 | 埂 1 | 拄 2 | 婺 3 | 缨 4 | 

糯 : 羔 0 | 秭 1 | 婺 2 | 骇 3 | 埂 4 | 

钛 : 拇 0 | 臧 1 | 骇 2 | 牦 3 | 秭 4 | 

贱 : 迸 0 | 袤 1 | 牦 2 | 馁 3 | 臧 4 | 

釜 : 粽 0 | 叨 1 | 馁 2 | 捅 3 | 袤 4 | 

谆 : 涟 0 | 斟 1 | 捅 2 | 坂 3 | 叨 4 | 

亢 : 肪 0 | 绮 1 | 坂 2 | 砀 3 | 斟 4 | 

跚 : 釉 0 | 瞿 1 | 砀 2 | 芮 3 | 绮 4 | 

毡 : 磐 0 | 袅 1 | 芮 2 | 〔 3 | 瞿 4 | 

殃 : 札 0 | 凹 1 | 〔 2 | 咫 3 | 袅 4 | 

钎 : 瘩 0 | 〕 1 | 咫 2 | 隅 3 | 凹 4 | 

赊 : 冥 0 | 驮 1 | 隅 2 | 兖 3 | 〕 4 | 

茧 : 酮 0 | 煜 1 | 兖 2 | 笃 3 | 驮 4 | 

兮 : 馋 0 | 饵 1 | 笃 2 | 绯 3 | 煜 4 | 

烨 : 汀 0 | 瞅 1 | 绯 2 | 睿 3 | 饵 4 | 

酥 : 嘹 0 | 镰 1 | 睿 2 | 溺 3 | 瞅 4 | 

祠 : 爹 0 | 粱 1 | 溺 2 | 哦 3 | 镰 4 | 

窿 : 抠 0 | 戳 1 | 哦 2 | 萋 3 | 粱 4 | 

擎 : 钵 0 | 楹 1 | 萋 2 | 殚 3 | 戳 4 | 

蜕 : 腌 0 | 馅 1 | 殚 2 | 绅 3 | 楹 4 | 

帧 : 桨 0 | 臆 1 | 绅 2 | 梵 3 | 馅 4 | 

噜 : 褪 0 | 疙 1 | 梵 2 | 怯 3 | 臆 4 | 

丞 : 筱 0 | 绷 1 | 怯 2 | 蕊 3 | 疙 4 | 

咆 : 蝗 0 | 犊 1 | 蕊 2 | 铿 3 | 绷 4 | 

捎 : 锵 0 | 嘘 1 | 铿 2 | 婷 3 | 犊 4 | 

蹴 : ｙ 0 | 掣 1 | 婷 2 | 胺 3 | 嘘 4 | 

惶 : 蒿 0 | 苯 1 | 胺 2 | 泗 3 | 掣 4 | 

浒 : 栉 0 | 惋 1 | 泗 2 | 毡 3 | 苯 4 | 

睇 : 粥 0 | 蹊 1 | 毡 2 | 玺 3 | 惋 4 | 

疤 : 迥 0 | 窒 1 | 玺 2 | 搂 3 | 蹊 4 | 

翌 : 佟 0 | 菏 1 | 搂 2 | 弋 3 | 窒 4 | 

猿 : 唁 0 | 奕 1 | 弋 2 | 袂 3 | 菏 4 | 

粕 : 嗬 0 | 扉 1 | 袂 2 | 祛 3 | 奕 4 | 

④ : 蔑 0 | 褥 1 | 祛 2 | 赊 3 | 扉 4 | 

迤 : 虏 0 | 柘 1 | 赊 2 | 拷 3 | 褥 4 | 

洮 : 羚 0 | 俨 1 | 拷 2 | 犀 3 | 柘 4 | 

裳 : 舵 0 | 遴 1 | 犀 2 | 皂 3 | 俨 4 | 

阙 : │ 0 | 胫 1 | 皂 2 | 伶 3 | 遴 4 | 

珀 : 囡 0 | 迩 1 | 伶 2 | 谚 3 | 胫 4 | 

漩 : 狄 0 | 恣 1 | 谚 2 | 卞 3 | 迩 4 | 

匣 : 搓 0 | 涸 1 | 卞 2 | 篓 3 | 恣 4 | 

殉 : 蓟 0 | 篱 1 | 篓 2 | 弛 3 | 涸 4 | 

炫 : 佰 0 | 徕 1 | 弛 2 | 蹬 3 | 篱 4 | 

戛 : 闰 0 | 飓 1 | 蹬 2 | 眨 3 | 徕 4 | 

勐 : 亵 0 | 笺 1 | 眨 2 | 濮 3 | 飓 4 | 

汩 : 袄 0 | 锢 1 | 濮 2 | 鲥 3 | 笺 4 | 

楞 : 钰 0 | 祀 1 | 鲥 2 | 姗 3 | 锢 4 | 

嗤 : 狸 0 | 徉 1 | 姗 2 | 徜 3 | 祀 4 | 

屁 : 怅 0 | 蚂 1 | 徜 2 | Ｚ 3 | 徉 4 | 

郅 : 眯 0 | 藕 1 | Ｚ 2 | 冽 3 | 蚂 4 | 

祈 : 舷 0 | 燮 1 | 冽 2 | 媲 3 | 藕 4 | 

毙 : 奚 0 | 奄 1 | 媲 2 | 皓 3 | 燮 4 | 

坍 : 褂 0 | 酯 1 | 皓 2 | 珑 3 | 奄 4 | 

霓 : 鹃 0 | 岖 1 | 珑 2 | 崽 3 | 酯 4 | 

偕 : 羌 0 | 鲨 1 | 崽 2 | 蛀 3 | 岖 4 | 

哇 : 诡 0 | 薰 1 | 蛀 2 | 翱 3 | 鲨 4 | 

瀛 : 钳 0 | 烷 1 | 翱 2 | 赝 3 | 薰 4 | 

砾 : 痫 0 | 脐 1 | 赝 2 | 腮 3 | 烷 4 | 

奚 : 哼 0 | 宓 1 | 腮 2 | 熹 3 | 脐 4 | 

蔼 : 兀 0 | 燎 1 | 熹 2 | 镛 3 | 宓 4 | 

诧 : 啧 0 | 陨 1 | 镛 2 | 徙 3 | 燎 4 | 

黝 : 鄙 0 | 怦 1 | 徙 2 | 攸 3 | 陨 4 | 

虏 : 惰 0 | 掬 1 | 攸 2 | 甄 3 | 怦 4 | 

惭 : 骼 0 | 癫 1 | 甄 2 | 厮 3 | 掬 4 | 

搂 : 潼 0 | ｋ 1 | 厮 2 | 帚 3 | 癫 4 | 

撵 : 蜕 0 | 拽 1 | 帚 2 | ｇ 3 | ｋ 4 | 

玷 : 祟 0 | 黝 1 | ｇ 2 | 钝 3 | 拽 4 | 

椭 : 纭 0 | 锰 1 | 钝 2 | 桢 3 | 黝 4 | 

羹 : 藜 0 | Ⅲ 1 | 桢 2 | 泱 3 | 锰 4 | 

窦 : 吱 0 | 漉 1 | 泱 2 | 亘 3 | Ⅲ 4 | 

邬 : 幌 0 | 瓯 1 | 亘 2 | 呱 3 | 漉 4 | 

茸 : 哽 0 | 裳 1 | 呱 2 | 籁 3 | 瓯 4 | 

娣 : 胰 0 | 撩 1 | 籁 2 | 膳 3 | 裳 4 | 

鳖 : 迦 0 | 嘀 1 | 膳 2 | 飨 3 | 撩 4 | 

嗜 : 淅 0 | 茸 1 | 飨 2 | 锥 3 | 嘀 4 | 

蔷 : 丫 0 | 鄢 1 | 锥 2 | 偃 3 | 茸 4 | 

敖 : 铤 0 | 婪 1 | 偃 2 | 掂 3 | 鄢 4 | 

耄 : 逍 0 | 憎 1 | 掂 2 | 惭 3 | 婪 4 | 

嗅 : 佤 0 | 嗣 1 | 惭 2 | 葵 3 | 憎 4 | 

狸 : 骅 0 | 倔 1 | 葵 2 | 吭 3 | 嗣 4 | 

丐 : 嫉 0 | 涓 1 | 吭 2 | 篝 3 | 倔 4 | 

掂 : 垢 0 | 脍 1 | 篝 2 | 琶 3 | 涓 4 | 

酶 : 菁 0 | 凋 1 | 琶 2 | 蹴 3 | 脍 4 | 

馁 : 讥 0 | 胥 1 | 蹴 2 | ｆ 3 | 凋 4 | 

芥 : 篑 0 | 幄 1 | ｆ 2 | 猝 3 | 胥 4 | 

靓 : 悸 0 | 羲 1 | 猝 2 | 鱿 3 | 幄 4 | 

薹 : 耄 0 | 缰 1 | 鱿 2 | 夙 3 | 羲 4 | 

伶 : 跷 0 | 荞 1 | 夙 2 | ｂ 3 | 缰 4 | 

窒 : 邬 0 | 衙 1 | ｂ 2 | 掰 3 | 荞 4 | 

枰 : 筏 0 | 耋 1 | 掰 2 | 薹 3 | 衙 4 | 

砭 : Ⅱ 0 | 懦 1 | 薹 2 | 黛 3 | 耋 4 | 

昶 : 缎 0 | 惬 1 | 黛 2 | 莆 3 | 懦 4 | 

阂 : 恺 0 | 狡 1 | 莆 2 | 咳 3 | 惬 4 | 

怅 : 藩 0 | 忻 1 | 咳 2 | Ｑ 3 | 狡 4 | 

葩 : 芸 0 | 氰 1 | Ｑ 2 | 嵘 3 | 忻 4 | 

疱 : 蛟 0 | 溧 1 | 嵘 2 | 淼 3 | 氰 4 | 

臃 : 卦 0 | 倏 1 | 淼 2 | 睽 3 | 溧 4 | 

珑 : 瓴 0 | 膺 1 | 睽 2 | 裘 3 | 倏 4 | 

ｂ : 瑕 0 | 祚 1 | 裘 2 | 阖 3 | 膺 4 | 

ｆ : 蛛 0 | 溥 1 | 阖 2 | 屎 3 | 祚 4 | 

愕 : 喳 0 | 恃 1 | 屎 2 | 讹 3 | 溥 4 | 

糠 : 偎 0 | 啪 1 | 讹 2 | 觐 3 | 恃 4 | 

赳 : 噢 0 | 楞 1 | 觐 2 | 枷 3 | 啪 4 | 

铄 : 苔 0 | 剽 1 | 枷 2 | 荼 3 | 楞 4 | 

窨 : 鬓 0 | 嗡 1 | 荼 2 | 遨 3 | 剽 4 | 

攥 : 撇 0 | 绢 1 | 遨 2 | 瞥 3 | 嗡 4 | 

簌 : 榈 0 | 禧 1 | 瞥 2 | 眩 3 | 绢 4 | 

箴 : 侏 0 | 唾 1 | 眩 2 | 裨 3 | 禧 4 | 

酚 : 洮 0 | 噶 1 | 裨 2 | 飒 3 | 唾 4 | 

翡 : 惮 0 | 鲫 1 | 飒 2 | 捂 3 | 噶 4 | 

骛 : 琵 0 | 陉 1 | 捂 2 | 橘 3 | 鲫 4 | 

怦 : 粼 0 | 匝 1 | 橘 2 | 愕 3 | 陉 4 | 

圪 : 覃 0 | 潞 1 | 愕 2 | 娣 3 | 匝 4 | 

氚 : 樵 0 | 喋 1 | 娣 2 | 捺 3 | 潞 4 | 

偎 : 拭 0 | 靴 1 | 捺 2 | 攥 3 | 喋 4 | 

麒 : 嘻 0 | 蚩 1 | 攥 2 | 芋 3 | 靴 4 | 

琉 : 仃 0 | 趾 1 | 芋 2 | 稷 3 | 蚩 4 | 

雌 : 淆 0 | 孺 1 | 稷 2 | 冢 3 | 趾 4 | 

拈 : 茎 0 | 胄 1 | 冢 2 | 抡 3 | 孺 4 | 

─ : 笙 0 | 囤 1 | 抡 2 | 晦 3 | 胄 4 | 

熹 : 鳖 0 | 谏 1 | 晦 2 | 忏 3 | 囤 4 | 

Ⅱ : 釜 0 | 谟 1 | 忏 2 | 眈 3 | 谏 4 | 

胺 : 鸫 0 | 赎 1 | 眈 2 | 镍 3 | 谟 4 | 

捺 : 呻 0 | 遒 1 | 镍 2 | 泯 3 | 赎 4 | 

蚂 : 淦 0 | 扈 1 | 泯 2 | 咒 3 | 遒 4 | 

栌 : 钛 0 | 钠 1 | 咒 2 | 铡 3 | 扈 4 | 

菩 : 箫 0 | 惚 1 | 铡 2 | 霭 3 | 钠 4 | 

叽 : 苞 0 | 绛 1 | 霭 2 | 圻 3 | 惚 4 | 

赅 : 珩 0 | 牍 1 | 圻 2 | 罹 3 | 绛 4 | 

腈 : 嘶 0 | 簧 1 | 罹 2 | 锂 3 | 牍 4 | 

晌 : 芷 0 | 阱 1 | 锂 2 | 孢 3 | 簧 4 | 

懵 : 湮 0 | 咧 1 | 孢 2 | 猕 3 | 阱 4 | 

掖 : 蠡 0 | 孀 1 | 猕 2 | 杞 3 | 咧 4 | 

颍 : ④ 0 | 妃 1 | 杞 2 | 郜 3 | 孀 4 | 

焖 : 舜 0 | 挎 1 | 郜 2 | 囱 3 | 妃 4 | 

漱 : 迤 0 | 珞 1 | 囱 2 | 玖 3 | 挎 4 | 

淅 : 匣 0 | 丐 1 | 玖 2 | 惘 3 | 珞 4 | 

疹 : 疟 0 | 茏 1 | 惘 2 | 咛 3 | 丐 4 | 

殚 : 咚 0 | 菠 1 | 咛 2 | 铧 3 | 茏 4 | 

睬 : 撮 0 | 妖 1 | 铧 2 | 碉 3 | 菠 4 | 

谕 : 畈 0 | 荀 1 | 碉 2 | 汨 3 | 妖 4 | 

禺 : 蘸 0 | 掖 1 | 汨 2 | 逶 3 | 荀 4 | 

笙 : 叽 0 | 伉 1 | 逶 2 | 弼 3 | 掖 4 | 

嘶 : 庶 0 | 郧 1 | 弼 2 | 箍 3 | 伉 4 | 

鲟 : 杷 0 | 阙 1 | 箍 2 | 枇 3 | 郧 4 | 

芸 : 豉 0 | 偕 1 | 枇 2 | 蹼 3 | 阙 4 | 

孽 : 豚 0 | 瓮 1 | 蹼 2 | 嘿 3 | 偕 4 | 

耙 : 趸 0 | 嘈 1 | 嘿 2 | 荃 3 | 瓮 4 | 

娲 : 漯 0 | 疵 1 | 荃 2 | 韫 3 | 嘈 4 | 

愫 : 铄 0 | 屉 1 | 韫 2 | 厥 3 | 疵 4 | 

蓿 : 嗒 0 | 畹 1 | 厥 2 | 钺 3 | 屉 4 | 

嶙 : 沭 0 | 逵 1 | 钺 2 | 簌 3 | 畹 4 | 

镍 : 掐 0 | 嫖 1 | 簌 2 | 懵 3 | 逵 4 | 

阄 : 嘟 0 | 娑 1 | 懵 2 | 翥 3 | 嫖 4 | 

僮 : 佬 0 | 谒 1 | 翥 2 | 呜 3 | 娑 4 | 

酗 : 嶙 0 | 糯 1 | 呜 2 | 妞 3 | 谒 4 | 

剽 : 颊 0 | 莠 1 | 妞 2 | 螃 3 | 糯 4 | 

蹭 : 茗 0 | 诧 1 | 螃 2 | 葩 3 | 莠 4 | 

豌 : 炖 0 | 疹 1 | 葩 2 | 辫 3 | 诧 4 | 

恿 : 晏 0 | 罄 1 | 辫 2 | 椭 3 | 疹 4 | 

裘 : 粑 0 | 壕 1 | 椭 2 | 阑 3 | 罄 4 | 

亘 : 鳌 0 | 柠 1 | 阑 2 | 玷 3 | 壕 4 | 

烬 : 吝 0 | 戛 1 | 玷 2 | 俳 3 | 柠 4 | 

楣 : 锨 0 | 呛 1 | 俳 2 | 诤 3 | 戛 4 | 

涿 : 浠 0 | 漱 1 | 诤 2 | 莜 3 | 呛 4 | 

怂 : 杈 0 | 槌 1 | 莜 2 | 淇 3 | 漱 4 | 

ｘ : 孳 0 | 坳 1 | 淇 2 | 昙 3 | 槌 4 | 

