。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 一 5 | 在 6 | 中 7 | 人 8 | 了 9 | 是 10 | 和 11 | 有 12 | 大 13 | １ 14 | 不 15 | 年 16 | ０ 17 | 会 18 | 为 19 | 

惶 : 蒿 0 | 苯 1 | 胺 2 | 泗 3 | 掣 4 | 栉 5 | ｙ 6 | 惋 7 | 婷 8 | 毡 9 | 嘘 10 | 粥 11 | 锵 12 | 蹊 13 | 铿 14 | 玺 15 | 犊 16 | 迥 17 | 蝗 18 | 窒 19 | 

浒 : 栉 0 | 惋 1 | 泗 2 | 毡 3 | 苯 4 | 粥 5 | 蒿 6 | 蹊 7 | 胺 8 | 玺 9 | 掣 10 | 迥 11 | ｙ 12 | 窒 13 | 婷 14 | 搂 15 | 嘘 16 | 佟 17 | 锵 18 | 菏 19 | 

睇 : 粥 0 | 蹊 1 | 毡 2 | 玺 3 | 惋 4 | 迥 5 | 栉 6 | 窒 7 | 泗 8 | 搂 9 | 苯 10 | 佟 11 | 蒿 12 | 菏 13 | 胺 14 | 弋 15 | 掣 16 | 唁 17 | ｙ 18 | 奕 19 | 

疤 : 迥 0 | 窒 1 | 玺 2 | 搂 3 | 蹊 4 | 佟 5 | 粥 6 | 菏 7 | 毡 8 | 弋 9 | 惋 10 | 唁 11 | 栉 12 | 奕 13 | 泗 14 | 袂 15 | 苯 16 | 嗬 17 | 蒿 18 | 扉 19 | 

翌 : 佟 0 | 菏 1 | 搂 2 | 弋 3 | 窒 4 | 唁 5 | 迥 6 | 奕 7 | 玺 8 | 袂 9 | 蹊 10 | 嗬 11 | 粥 12 | 扉 13 | 毡 14 | 祛 15 | 惋 16 | 蔑 17 | 栉 18 | 褥 19 | 

猿 : 唁 0 | 奕 1 | 弋 2 | 袂 3 | 菏 4 | 嗬 5 | 佟 6 | 扉 7 | 搂 8 | 祛 9 | 窒 10 | 蔑 11 | 迥 12 | 褥 13 | 玺 14 | 赊 15 | 蹊 16 | 虏 17 | 粥 18 | 柘 19 | 

粕 : 嗬 0 | 扉 1 | 袂 2 | 祛 3 | 奕 4 | 蔑 5 | 唁 6 | 褥 7 | 弋 8 | 赊 9 | 菏 10 | 虏 11 | 佟 12 | 柘 13 | 搂 14 | 拷 15 | 窒 16 | 羚 17 | 迥 18 | 俨 19 | 

④ : 蔑 0 | 褥 1 | 祛 2 | 赊 3 | 扉 4 | 虏 5 | 嗬 6 | 柘 7 | 袂 8 | 拷 9 | 奕 10 | 羚 11 | 唁 12 | 俨 13 | 弋 14 | 犀 15 | 菏 16 | 舵 17 | 佟 18 | 遴 19 | 

迤 : 虏 0 | 柘 1 | 赊 2 | 拷 3 | 褥 4 | 羚 5 | 蔑 6 | 俨 7 | 祛 8 | 犀 9 | 扉 10 | 舵 11 | 嗬 12 | 遴 13 | 袂 14 | 皂 15 | 奕 16 | │ 17 | 唁 18 | 胫 19 | 

洮 : 羚 0 | 俨 1 | 拷 2 | 犀 3 | 柘 4 | 舵 5 | 虏 6 | 遴 7 | 赊 8 | 皂 9 | 褥 10 | │ 11 | 蔑 12 | 胫 13 | 祛 14 | 伶 15 | 扉 16 | 囡 17 | 嗬 18 | 迩 19 | 

裳 : 舵 0 | 遴 1 | 犀 2 | 皂 3 | 俨 4 | │ 5 | 羚 6 | 胫 7 | 拷 8 | 伶 9 | 柘 10 | 囡 11 | 虏 12 | 迩 13 | 赊 14 | 谚 15 | 褥 16 | 狄 17 | 蔑 18 | 恣 19 | 

阙 : │ 0 | 胫 1 | 皂 2 | 伶 3 | 遴 4 | 囡 5 | 舵 6 | 迩 7 | 犀 8 | 谚 9 | 俨 10 | 狄 11 | 羚 12 | 恣 13 | 拷 14 | 卞 15 | 柘 16 | 搓 17 | 虏 18 | 涸 19 | 

珀 : 囡 0 | 迩 1 | 伶 2 | 谚 3 | 胫 4 | 狄 5 | │ 6 | 恣 7 | 皂 8 | 卞 9 | 遴 10 | 搓 11 | 舵 12 | 涸 13 | 犀 14 | 篓 15 | 俨 16 | 蓟 17 | 羚 18 | 篱 19 | 

漩 : 狄 0 | 恣 1 | 谚 2 | 卞 3 | 迩 4 | 搓 5 | 囡 6 | 涸 7 | 伶 8 | 篓 9 | 胫 10 | 蓟 11 | │ 12 | 篱 13 | 皂 14 | 弛 15 | 遴 16 | 佰 17 | 舵 18 | 徕 19 | 

匣 : 搓 0 | 涸 1 | 卞 2 | 篓 3 | 恣 4 | 蓟 5 | 狄 6 | 篱 7 | 谚 8 | 弛 9 | 迩 10 | 佰 11 | 囡 12 | 徕 13 | 伶 14 | 蹬 15 | 胫 16 | 闰 17 | │ 18 | 飓 19 | 

殉 : 蓟 0 | 篱 1 | 篓 2 | 弛 3 | 涸 4 | 佰 5 | 搓 6 | 徕 7 | 卞 8 | 蹬 9 | 恣 10 | 闰 11 | 狄 12 | 飓 13 | 谚 14 | 眨 15 | 迩 16 | 亵 17 | 囡 18 | 笺 19 | 

炫 : 佰 0 | 徕 1 | 弛 2 | 蹬 3 | 篱 4 | 闰 5 | 蓟 6 | 飓 7 | 篓 8 | 眨 9 | 涸 10 | 亵 11 | 搓 12 | 笺 13 | 卞 14 | 濮 15 | 恣 16 | 袄 17 | 狄 18 | 锢 19 | 

戛 : 闰 0 | 飓 1 | 蹬 2 | 眨 3 | 徕 4 | 亵 5 | 佰 6 | 笺 7 | 弛 8 | 濮 9 | 篱 10 | 袄 11 | 蓟 12 | 锢 13 | 篓 14 | 鲥 15 | 涸 16 | 钰 17 | 搓 18 | 祀 19 | 

勐 : 亵 0 | 笺 1 | 眨 2 | 濮 3 | 飓 4 | 袄 5 | 闰 6 | 锢 7 | 蹬 8 | 鲥 9 | 徕 10 | 钰 11 | 佰 12 | 祀 13 | 弛 14 | 姗 15 | 篱 16 | 狸 17 | 蓟 18 | 徉 19 | 

汩 : 袄 0 | 锢 1 | 濮 2 | 鲥 3 | 笺 4 | 钰 5 | 亵 6 | 祀 7 | 眨 8 | 姗 9 | 飓 10 | 狸 11 | 闰 12 | 徉 13 | 蹬 14 | 徜 15 | 徕 16 | 怅 17 | 佰 18 | 蚂 19 | 

楞 : 钰 0 | 祀 1 | 鲥 2 | 姗 3 | 锢 4 | 狸 5 | 袄 6 | 徉 7 | 濮 8 | 徜 9 | 笺 10 | 怅 11 | 亵 12 | 蚂 13 | 眨 14 | Ｚ 15 | 飓 16 | 眯 17 | 闰 18 | 藕 19 | 

嗤 : 狸 0 | 徉 1 | 姗 2 | 徜 3 | 祀 4 | 怅 5 | 钰 6 | 蚂 7 | 鲥 8 | Ｚ 9 | 锢 10 | 眯 11 | 袄 12 | 藕 13 | 濮 14 | 冽 15 | 笺 16 | 舷 17 | 亵 18 | 燮 19 | 

屁 : 怅 0 | 蚂 1 | 徜 2 | Ｚ 3 | 徉 4 | 眯 5 | 狸 6 | 藕 7 | 姗 8 | 冽 9 | 祀 10 | 舷 11 | 钰 12 | 燮 13 | 鲥 14 | 媲 15 | 锢 16 | 奚 17 | 袄 18 | 奄 19 | 

郅 : 眯 0 | 藕 1 | Ｚ 2 | 冽 3 | 蚂 4 | 舷 5 | 怅 6 | 燮 7 | 徜 8 | 媲 9 | 徉 10 | 奚 11 | 狸 12 | 奄 13 | 姗 14 | 皓 15 | 祀 16 | 褂 17 | 钰 18 | 酯 19 | 

祈 : 舷 0 | 燮 1 | 冽 2 | 媲 3 | 藕 4 | 奚 5 | 眯 6 | 奄 7 | Ｚ 8 | 皓 9 | 蚂 10 | 褂 11 | 怅 12 | 酯 13 | 徜 14 | 珑 15 | 徉 16 | 鹃 17 | 狸 18 | 岖 19 | 

毙 : 奚 0 | 奄 1 | 媲 2 | 皓 3 | 燮 4 | 褂 5 | 舷 6 | 酯 7 | 冽 8 | 珑 9 | 藕 10 | 鹃 11 | 眯 12 | 岖 13 | Ｚ 14 | 崽 15 | 蚂 16 | 羌 17 | 怅 18 | 鲨 19 | 

坍 : 褂 0 | 酯 1 | 皓 2 | 珑 3 | 奄 4 | 鹃 5 | 奚 6 | 岖 7 | 媲 8 | 崽 9 | 燮 10 | 羌 11 | 舷 12 | 鲨 13 | 冽 14 | 蛀 15 | 藕 16 | 诡 17 | 眯 18 | 薰 19 | 

霓 : 鹃 0 | 岖 1 | 珑 2 | 崽 3 | 酯 4 | 羌 5 | 褂 6 | 鲨 7 | 皓 8 | 蛀 9 | 奄 10 | 诡 11 | 奚 12 | 薰 13 | 媲 14 | 翱 15 | 燮 16 | 钳 17 | 舷 18 | 烷 19 | 

偕 : 羌 0 | 鲨 1 | 崽 2 | 蛀 3 | 岖 4 | 诡 5 | 鹃 6 | 薰 7 | 珑 8 | 翱 9 | 酯 10 | 钳 11 | 褂 12 | 烷 13 | 皓 14 | 赝 15 | 奄 16 | 痫 17 | 奚 18 | 脐 19 | 

哇 : 诡 0 | 薰 1 | 蛀 2 | 翱 3 | 鲨 4 | 钳 5 | 羌 6 | 烷 7 | 崽 8 | 赝 9 | 岖 10 | 痫 11 | 鹃 12 | 脐 13 | 珑 14 | 腮 15 | 酯 16 | 哼 17 | 褂 18 | 宓 19 | 

瀛 : 钳 0 | 烷 1 | 翱 2 | 赝 3 | 薰 4 | 痫 5 | 诡 6 | 脐 7 | 蛀 8 | 腮 9 | 鲨 10 | 哼 11 | 羌 12 | 宓 13 | 崽 14 | 熹 15 | 岖 16 | 兀 17 | 鹃 18 | 燎 19 | 

砾 : 痫 0 | 脐 1 | 赝 2 | 腮 3 | 烷 4 | 哼 5 | 钳 6 | 宓 7 | 翱 8 | 熹 9 | 薰 10 | 兀 11 | 诡 12 | 燎 13 | 蛀 14 | 镛 15 | 鲨 16 | 啧 17 | 羌 18 | 陨 19 | 

奚 : 哼 0 | 宓 1 | 腮 2 | 熹 3 | 脐 4 | 兀 5 | 痫 6 | 燎 7 | 赝 8 | 镛 9 | 烷 10 | 啧 11 | 钳 12 | 陨 13 | 翱 14 | 徙 15 | 薰 16 | 鄙 17 | 诡 18 | 怦 19 | 

蔼 : 兀 0 | 燎 1 | 熹 2 | 镛 3 | 宓 4 | 啧 5 | 哼 6 | 陨 7 | 腮 8 | 徙 9 | 脐 10 | 鄙 11 | 痫 12 | 怦 13 | 赝 14 | 攸 15 | 烷 16 | 惰 17 | 钳 18 | 掬 19 | 

诧 : 啧 0 | 陨 1 | 镛 2 | 徙 3 | 燎 4 | 鄙 5 | 兀 6 | 怦 7 | 熹 8 | 攸 9 | 宓 10 | 惰 11 | 哼 12 | 掬 13 | 腮 14 | 甄 15 | 脐 16 | 骼 17 | 痫 18 | 癫 19 | 

黝 : 鄙 0 | 怦 1 | 徙 2 | 攸 3 | 陨 4 | 惰 5 | 啧 6 | 掬 7 | 镛 8 | 甄 9 | 燎 10 | 骼 11 | 兀 12 | 癫 13 | 熹 14 | 厮 15 | 宓 16 | 潼 17 | 哼 18 | ｋ 19 | 

虏 : 惰 0 | 掬 1 | 攸 2 | 甄 3 | 怦 4 | 骼 5 | 鄙 6 | 癫 7 | 徙 8 | 厮 9 | 陨 10 | 潼 11 | 啧 12 | ｋ 13 | 镛 14 | 帚 15 | 燎 16 | 蜕 17 | 兀 18 | 拽 19 | 

惭 : 骼 0 | 癫 1 | 甄 2 | 厮 3 | 掬 4 | 潼 5 | 惰 6 | ｋ 7 | 攸 8 | 帚 9 | 怦 10 | 蜕 11 | 鄙 12 | 拽 13 | 徙 14 | ｇ 15 | 陨 16 | 祟 17 | 啧 18 | 黝 19 | 

搂 : 潼 0 | ｋ 1 | 厮 2 | 帚 3 | 癫 4 | 蜕 5 | 骼 6 | 拽 7 | 甄 8 | ｇ 9 | 掬 10 | 祟 11 | 惰 12 | 黝 13 | 攸 14 | 钝 15 | 怦 16 | 纭 17 | 鄙 18 | 锰 19 | 

撵 : 蜕 0 | 拽 1 | 帚 2 | ｇ 3 | ｋ 4 | 祟 5 | 潼 6 | 黝 7 | 厮 8 | 钝 9 | 癫 10 | 纭 11 | 骼 12 | 锰 13 | 甄 14 | 桢 15 | 掬 16 | 藜 17 | 惰 18 | Ⅲ 19 | 

玷 : 祟 0 | 黝 1 | ｇ 2 | 钝 3 | 拽 4 | 纭 5 | 蜕 6 | 锰 7 | 帚 8 | 桢 9 | ｋ 10 | 藜 11 | 潼 12 | Ⅲ 13 | 厮 14 | 泱 15 | 癫 16 | 吱 17 | 骼 18 | 漉 19 | 

椭 : 纭 0 | 锰 1 | 钝 2 | 桢 3 | 黝 4 | 藜 5 | 祟 6 | Ⅲ 7 | ｇ 8 | 泱 9 | 拽 10 | 吱 11 | 蜕 12 | 漉 13 | 帚 14 | 亘 15 | ｋ 16 | 幌 17 | 潼 18 | 瓯 19 | 

羹 : 藜 0 | Ⅲ 1 | 桢 2 | 泱 3 | 锰 4 | 吱 5 | 纭 6 | 漉 7 | 钝 8 | 亘 9 | 黝 10 | 幌 11 | 祟 12 | 瓯 13 | ｇ 14 | 呱 15 | 拽 16 | 哽 17 | 蜕 18 | 裳 19 | 

窦 : 吱 0 | 漉 1 | 泱 2 | 亘 3 | Ⅲ 4 | 幌 5 | 藜 6 | 瓯 7 | 桢 8 | 呱 9 | 锰 10 | 哽 11 | 纭 12 | 裳 13 | 钝 14 | 籁 15 | 黝 16 | 胰 17 | 祟 18 | 撩 19 | 

邬 : 幌 0 | 瓯 1 | 亘 2 | 呱 3 | 漉 4 | 哽 5 | 吱 6 | 裳 7 | 泱 8 | 籁 9 | Ⅲ 10 | 胰 11 | 藜 12 | 撩 13 | 桢 14 | 膳 15 | 锰 16 | 迦 17 | 纭 18 | 嘀 19 | 

茸 : 哽 0 | 裳 1 | 呱 2 | 籁 3 | 瓯 4 | 胰 5 | 幌 6 | 撩 7 | 亘 8 | 膳 9 | 漉 10 | 迦 11 | 吱 12 | 嘀 13 | 泱 14 | 飨 15 | Ⅲ 16 | 淅 17 | 藜 18 | 茸 19 | 

娣 : 胰 0 | 撩 1 | 籁 2 | 膳 3 | 裳 4 | 迦 5 | 哽 6 | 嘀 7 | 呱 8 | 飨 9 | 瓯 10 | 淅 11 | 幌 12 | 茸 13 | 亘 14 | 锥 15 | 漉 16 | 丫 17 | 吱 18 | 鄢 19 | 

鳖 : 迦 0 | 嘀 1 | 膳 2 | 飨 3 | 撩 4 | 淅 5 | 胰 6 | 茸 7 | 籁 8 | 锥 9 | 裳 10 | 丫 11 | 哽 12 | 鄢 13 | 呱 14 | 偃 15 | 瓯 16 | 铤 17 | 幌 18 | 婪 19 | 

嗜 : 淅 0 | 茸 1 | 飨 2 | 锥 3 | 嘀 4 | 丫 5 | 迦 6 | 鄢 7 | 膳 8 | 偃 9 | 撩 10 | 铤 11 | 胰 12 | 婪 13 | 籁 14 | 掂 15 | 裳 16 | 逍 17 | 哽 18 | 憎 19 | 

蔷 : 丫 0 | 鄢 1 | 锥 2 | 偃 3 | 茸 4 | 铤 5 | 淅 6 | 婪 7 | 飨 8 | 掂 9 | 嘀 10 | 逍 11 | 迦 12 | 憎 13 | 膳 14 | 惭 15 | 撩 16 | 佤 17 | 胰 18 | 嗣 19 | 

敖 : 铤 0 | 婪 1 | 偃 2 | 掂 3 | 鄢 4 | 逍 5 | 丫 6 | 憎 7 | 锥 8 | 惭 9 | 茸 10 | 佤 11 | 淅 12 | 嗣 13 | 飨 14 | 葵 15 | 嘀 16 | 骅 17 | 迦 18 | 倔 19 | 

耄 : 逍 0 | 憎 1 | 掂 2 | 惭 3 | 婪 4 | 佤 5 | 铤 6 | 嗣 7 | 偃 8 | 葵 9 | 鄢 10 | 骅 11 | 丫 12 | 倔 13 | 锥 14 | 吭 15 | 茸 16 | 嫉 17 | 淅 18 | 涓 19 | 

嗅 : 佤 0 | 嗣 1 | 惭 2 | 葵 3 | 憎 4 | 骅 5 | 逍 6 | 倔 7 | 掂 8 | 吭 9 | 婪 10 | 嫉 11 | 铤 12 | 涓 13 | 偃 14 | 篝 15 | 鄢 16 | 垢 17 | 丫 18 | 脍 19 | 

狸 : 骅 0 | 倔 1 | 葵 2 | 吭 3 | 嗣 4 | 嫉 5 | 佤 6 | 涓 7 | 惭 8 | 篝 9 | 憎 10 | 垢 11 | 逍 12 | 脍 13 | 掂 14 | 琶 15 | 婪 16 | 菁 17 | 铤 18 | 凋 19 | 

丐 : 嫉 0 | 涓 1 | 吭 2 | 篝 3 | 倔 4 | 垢 5 | 骅 6 | 脍 7 | 葵 8 | 琶 9 | 嗣 10 | 菁 11 | 佤 12 | 凋 13 | 惭 14 | 蹴 15 | 憎 16 | 讥 17 | 逍 18 | 胥 19 | 

掂 : 垢 0 | 脍 1 | 篝 2 | 琶 3 | 涓 4 | 菁 5 | 嫉 6 | 凋 7 | 吭 8 | 蹴 9 | 倔 10 | 讥 11 | 骅 12 | 胥 13 | 葵 14 | ｆ 15 | 嗣 16 | 篑 17 | 佤 18 | 幄 19 | 

酶 : 菁 0 | 凋 1 | 琶 2 | 蹴 3 | 脍 4 | 讥 5 | 垢 6 | 胥 7 | 篝 8 | ｆ 9 | 涓 10 | 篑 11 | 嫉 12 | 幄 13 | 吭 14 | 猝 15 | 倔 16 | 悸 17 | 骅 18 | 羲 19 | 

馁 : 讥 0 | 胥 1 | 蹴 2 | ｆ 3 | 凋 4 | 篑 5 | 菁 6 | 幄 7 | 琶 8 | 猝 9 | 脍 10 | 悸 11 | 垢 12 | 羲 13 | 篝 14 | 鱿 15 | 涓 16 | 耄 17 | 嫉 18 | 缰 19 | 

芥 : 篑 0 | 幄 1 | ｆ 2 | 猝 3 | 胥 4 | 悸 5 | 讥 6 | 羲 7 | 蹴 8 | 鱿 9 | 凋 10 | 耄 11 | 菁 12 | 缰 13 | 琶 14 | 夙 15 | 脍 16 | 跷 17 | 垢 18 | 荞 19 | 

靓 : 悸 0 | 羲 1 | 猝 2 | 鱿 3 | 幄 4 | 耄 5 | 篑 6 | 缰 7 | ｆ 8 | 夙 9 | 胥 10 | 跷 11 | 讥 12 | 荞 13 | 蹴 14 | ｂ 15 | 凋 16 | 邬 17 | 菁 18 | 衙 19 | 

薹 : 耄 0 | 缰 1 | 鱿 2 | 夙 3 | 羲 4 | 跷 5 | 悸 6 | 荞 7 | 猝 8 | ｂ 9 | 幄 10 | 邬 11 | 篑 12 | 衙 13 | ｆ 14 | 掰 15 | 胥 16 | 筏 17 | 讥 18 | 耋 19 | 

伶 : 跷 0 | 荞 1 | 夙 2 | ｂ 3 | 缰 4 | 邬 5 | 耄 6 | 衙 7 | 鱿 8 | 掰 9 | 羲 10 | 筏 11 | 悸 12 | 耋 13 | 猝 14 | 薹 15 | 幄 16 | Ⅱ 17 | 篑 18 | 懦 19 | 

窒 : 邬 0 | 衙 1 | ｂ 2 | 掰 3 | 荞 4 | 筏 5 | 跷 6 | 耋 7 | 夙 8 | 薹 9 | 缰 10 | Ⅱ 11 | 耄 12 | 懦 13 | 鱿 14 | 黛 15 | 羲 16 | 缎 17 | 悸 18 | 惬 19 | 

枰 : 筏 0 | 耋 1 | 掰 2 | 薹 3 | 衙 4 | Ⅱ 5 | 邬 6 | 懦 7 | ｂ 8 | 黛 9 | 荞 10 | 缎 11 | 跷 12 | 惬 13 | 夙 14 | 莆 15 | 缰 16 | 恺 17 | 耄 18 | 狡 19 | 

砭 : Ⅱ 0 | 懦 1 | 薹 2 | 黛 3 | 耋 4 | 缎 5 | 筏 6 | 惬 7 | 掰 8 | 莆 9 | 衙 10 | 恺 11 | 邬 12 | 狡 13 | ｂ 14 | 咳 15 | 荞 16 | 藩 17 | 跷 18 | 忻 19 | 

昶 : 缎 0 | 惬 1 | 黛 2 | 莆 3 | 懦 4 | 恺 5 | Ⅱ 6 | 狡 7 | 薹 8 | 咳 9 | 耋 10 | 藩 11 | 筏 12 | 忻 13 | 掰 14 | Ｑ 15 | 衙 16 | 芸 17 | 邬 18 | 氰 19 | 

阂 : 恺 0 | 狡 1 | 莆 2 | 咳 3 | 惬 4 | 藩 5 | 缎 6 | 忻 7 | 黛 8 | Ｑ 9 | 懦 10 | 芸 11 | Ⅱ 12 | 氰 13 | 薹 14 | 嵘 15 | 耋 16 | 蛟 17 | 筏 18 | 溧 19 | 

怅 : 藩 0 | 忻 1 | 咳 2 | Ｑ 3 | 狡 4 | 芸 5 | 恺 6 | 氰 7 | 莆 8 | 嵘 9 | 惬 10 | 蛟 11 | 缎 12 | 溧 13 | 黛 14 | 淼 15 | 懦 16 | 卦 17 | Ⅱ 18 | 倏 19 | 

葩 : 芸 0 | 氰 1 | Ｑ 2 | 嵘 3 | 忻 4 | 蛟 5 | 藩 6 | 溧 7 | 咳 8 | 淼 9 | 狡 10 | 卦 11 | 恺 12 | 倏 13 | 莆 14 | 睽 15 | 惬 16 | 瓴 17 | 缎 18 | 膺 19 | 

疱 : 蛟 0 | 溧 1 | 嵘 2 | 淼 3 | 氰 4 | 卦 5 | 芸 6 | 倏 7 | Ｑ 8 | 睽 9 | 忻 10 | 瓴 11 | 藩 12 | 膺 13 | 咳 14 | 裘 15 | 狡 16 | 瑕 17 | 恺 18 | 祚 19 | 

臃 : 卦 0 | 倏 1 | 淼 2 | 睽 3 | 溧 4 | 瓴 5 | 蛟 6 | 膺 7 | 嵘 8 | 裘 9 | 氰 10 | 瑕 11 | 芸 12 | 祚 13 | Ｑ 14 | 阖 15 | 忻 16 | 蛛 17 | 藩 18 | 溥 19 | 

珑 : 瓴 0 | 膺 1 | 睽 2 | 裘 3 | 倏 4 | 瑕 5 | 卦 6 | 祚 7 | 淼 8 | 阖 9 | 溧 10 | 蛛 11 | 蛟 12 | 溥 13 | 嵘 14 | 屎 15 | 氰 16 | 喳 17 | 芸 18 | 恃 19 | 

ｂ : 瑕 0 | 祚 1 | 裘 2 | 阖 3 | 膺 4 | 蛛 5 | 瓴 6 | 溥 7 | 睽 8 | 屎 9 | 倏 10 | 喳 11 | 卦 12 | 恃 13 | 淼 14 | 讹 15 | 溧 16 | 偎 17 | 蛟 18 | 啪 19 | 

ｆ : 蛛 0 | 溥 1 | 阖 2 | 屎 3 | 祚 4 | 喳 5 | 瑕 6 | 恃 7 | 裘 8 | 讹 9 | 膺 10 | 偎 11 | 瓴 12 | 啪 13 | 睽 14 | 觐 15 | 倏 16 | 噢 17 | 卦 18 | 楞 19 | 

愕 : 喳 0 | 恃 1 | 屎 2 | 讹 3 | 溥 4 | 偎 5 | 蛛 6 | 啪 7 | 阖 8 | 觐 9 | 祚 10 | 噢 11 | 瑕 12 | 楞 13 | 裘 14 | 枷 15 | 膺 16 | 苔 17 | 瓴 18 | 剽 19 | 

糠 : 偎 0 | 啪 1 | 讹 2 | 觐 3 | 恃 4 | 噢 5 | 喳 6 | 楞 7 | 屎 8 | 枷 9 | 溥 10 | 苔 11 | 蛛 12 | 剽 13 | 阖 14 | 荼 15 | 祚 16 | 鬓 17 | 瑕 18 | 嗡 19 | 

赳 : 噢 0 | 楞 1 | 觐 2 | 枷 3 | 啪 4 | 苔 5 | 偎 6 | 剽 7 | 讹 8 | 荼 9 | 恃 10 | 鬓 11 | 喳 12 | 嗡 13 | 屎 14 | 遨 15 | 溥 16 | 撇 17 | 蛛 18 | 绢 19 | 

铄 : 苔 0 | 剽 1 | 枷 2 | 荼 3 | 楞 4 | 鬓 5 | 噢 6 | 嗡 7 | 觐 8 | 遨 9 | 啪 10 | 撇 11 | 偎 12 | 绢 13 | 讹 14 | 瞥 15 | 恃 16 | 榈 17 | 喳 18 | 禧 19 | 

窨 : 鬓 0 | 嗡 1 | 荼 2 | 遨 3 | 剽 4 | 撇 5 | 苔 6 | 绢 7 | 枷 8 | 瞥 9 | 楞 10 | 榈 11 | 噢 12 | 禧 13 | 觐 14 | 眩 15 | 啪 16 | 侏 17 | 偎 18 | 唾 19 | 

攥 : 撇 0 | 绢 1 | 遨 2 | 瞥 3 | 嗡 4 | 榈 5 | 鬓 6 | 禧 7 | 荼 8 | 眩 9 | 剽 10 | 侏 11 | 苔 12 | 唾 13 | 枷 14 | 裨 15 | 楞 16 | 洮 17 | 噢 18 | 噶 19 | 

簌 : 榈 0 | 禧 1 | 瞥 2 | 眩 3 | 绢 4 | 侏 5 | 撇 6 | 唾 7 | 遨 8 | 裨 9 | 嗡 10 | 洮 11 | 鬓 12 | 噶 13 | 荼 14 | 飒 15 | 剽 16 | 惮 17 | 苔 18 | 鲫 19 | 

箴 : 侏 0 | 唾 1 | 眩 2 | 裨 3 | 禧 4 | 洮 5 | 榈 6 | 噶 7 | 瞥 8 | 飒 9 | 绢 10 | 惮 11 | 撇 12 | 鲫 13 | 遨 14 | 捂 15 | 嗡 16 | 琵 17 | 鬓 18 | 陉 19 | 

酚 : 洮 0 | 噶 1 | 裨 2 | 飒 3 | 唾 4 | 惮 5 | 侏 6 | 鲫 7 | 眩 8 | 捂 9 | 禧 10 | 琵 11 | 榈 12 | 陉 13 | 瞥 14 | 橘 15 | 绢 16 | 粼 17 | 撇 18 | 匝 19 | 

翡 : 惮 0 | 鲫 1 | 飒 2 | 捂 3 | 噶 4 | 琵 5 | 洮 6 | 陉 7 | 裨 8 | 橘 9 | 唾 10 | 粼 11 | 侏 12 | 匝 13 | 眩 14 | 愕 15 | 禧 16 | 覃 17 | 榈 18 | 潞 19 | 

骛 : 琵 0 | 陉 1 | 捂 2 | 橘 3 | 鲫 4 | 粼 5 | 惮 6 | 匝 7 | 飒 8 | 愕 9 | 噶 10 | 覃 11 | 洮 12 | 潞 13 | 裨 14 | 娣 15 | 唾 16 | 樵 17 | 侏 18 | 喋 19 | 

怦 : 粼 0 | 匝 1 | 橘 2 | 愕 3 | 陉 4 | 覃 5 | 琵 6 | 潞 7 | 捂 8 | 娣 9 | 鲫 10 | 樵 11 | 惮 12 | 喋 13 | 飒 14 | 捺 15 | 噶 16 | 拭 17 | 洮 18 | 靴 19 | 

圪 : 覃 0 | 潞 1 | 愕 2 | 娣 3 | 匝 4 | 樵 5 | 粼 6 | 喋 7 | 橘 8 | 捺 9 | 陉 10 | 拭 11 | 琵 12 | 靴 13 | 捂 14 | 攥 15 | 鲫 16 | 嘻 17 | 惮 18 | 蚩 19 | 

氚 : 樵 0 | 喋 1 | 娣 2 | 捺 3 | 潞 4 | 拭 5 | 覃 6 | 靴 7 | 愕 8 | 攥 9 | 匝 10 | 嘻 11 | 粼 12 | 蚩 13 | 橘 14 | 芋 15 | 陉 16 | 仃 17 | 琵 18 | 趾 19 | 

偎 : 拭 0 | 靴 1 | 捺 2 | 攥 3 | 喋 4 | 嘻 5 | 樵 6 | 蚩 7 | 娣 8 | 芋 9 | 潞 10 | 仃 11 | 覃 12 | 趾 13 | 愕 14 | 稷 15 | 匝 16 | 淆 17 | 粼 18 | 孺 19 | 

麒 : 嘻 0 | 蚩 1 | 攥 2 | 芋 3 | 靴 4 | 仃 5 | 拭 6 | 趾 7 | 捺 8 | 稷 9 | 喋 10 | 淆 11 | 樵 12 | 孺 13 | 娣 14 | 冢 15 | 潞 16 | 茎 17 | 覃 18 | 胄 19 | 

琉 : 仃 0 | 趾 1 | 芋 2 | 稷 3 | 蚩 4 | 淆 5 | 嘻 6 | 孺 7 | 攥 8 | 冢 9 | 靴 10 | 茎 11 | 拭 12 | 胄 13 | 捺 14 | 抡 15 | 喋 16 | 笙 17 | 樵 18 | 囤 19 | 

雌 : 淆 0 | 孺 1 | 稷 2 | 冢 3 | 趾 4 | 茎 5 | 仃 6 | 胄 7 | 芋 8 | 抡 9 | 蚩 10 | 笙 11 | 嘻 12 | 囤 13 | 攥 14 | 晦 15 | 靴 16 | 鳖 17 | 拭 18 | 谏 19 | 

